city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
Eindhoven,2012,cocaine,349.83,NL414,31061860000.0
Wasserverband Hofsteig,2020,methamphetamine,1.8,AT342,13857760000.0
Lappeenranta,2022,amphetamine,131.77,FI1C5,5491900000.0
Pori,2020,methamphetamine,1.49,FI196,8002590000.0
Velenje,2021,methamphetamine,2.5,SI034,5616580000.0
Santiago,2022,methamphetamine,1.56,ES114,23720700000.0
Istanbul (II-VII),2020,cannabis,35.81,TR100,187221140000.0
Velenje,2019,methamphetamine,0.0,SI034,5315070000.0
Graz,2021,amphetamine,38.57,AT221,24303050000.0
Geneva,2017,methamphetamine,18.1,CH013,47070740000.0
Gothenburg,2013,amphetamine,215.33,SE232,72620920000.0
Purgstall,2020,methamphetamine,1.32,AT121,8407580000.0
Dortmund,2014,methamphetamine,0.0,DEA52,20624310000.0
Velenje,2024,methamphetamine,0.0,SI034,7108660000.0
Dortmund,2013,methamphetamine,0.0,DEA52,19955940000.0
Berne,2020,methamphetamine,28.61,CH021,76782230000.0
Dortmund,2015,methamphetamine,0.0,DEA52,21303210000.0
Velenje,2022,methamphetamine,0.0,SI034,6211170000.0
Velenje,2023,methamphetamine,0.0,SI034,6810550000.0
Kufstein,2020,amphetamine,14.2,AT335,11840750000.0
Berne,2012,amphetamine,33.05,CH021,64261150000.0
Brno,2023,cocaine,115.61,CZ064,34959370000.0
Geneva,2016,methamphetamine,6.86,CH013,46913820000.0
Turku,2018,MDMA,16.12,FI1C1,18907330000.0
Debrecen,2023,ketamine,0.6,HU321,7923530000.0
Piestany,2015,amphetamine,23.34,SK021,8790780000.0
Rovaniemi,2014,amphetamine,46.39,FI1D7,6011980000.0
Dortmund,2017,methamphetamine,0.0,DEA52,23082650000.0
Wiener Neustadt,2022,cocaine,175.45,AT122,9355460000.0
Dortmund,2019,methamphetamine,0.0,DEA52,25110130000.0
Antwerp Zuid,2022,amphetamine,524.99,BE211,62626500000.0
Castellon,2014,MDMA,4.12,ES522,12734900000.0
Nuremberg,2022,methamphetamine,132.41,DE254,35726290000.0
Dortmund,2020,methamphetamine,0.0,DEA52,24615330000.0
Dortmund,2023,methamphetamine,0.0,DEA52,29577580000.0
Milan,2012,methamphetamine,10.11,ITC4C,162599770000.0
Pori,2022,MDMA,3.62,FI196,9063630000.0
Gothenburg,2013,methamphetamine,0.0,SE232,72620920000.0
Velenje,2023,amphetamine,135.08,SI034,6810550000.0
Athens,2020,methamphetamine,18.31,EL303,28736340000.0
Milan,2013,methamphetamine,5.93,ITC4C,160142560000.0
Tarragona,2023,amphetamine,51.51,ES514,29471600000.0
St. Gallen Hofen,2019,methamphetamine,12.73,CH055,35847710000.0
Oostende,2019,MDMA,25.96,BE255,5121360000.0
Klagenfurt,2022,methamphetamine,1.63,AT211,15123820000.0
Velenje,2022,amphetamine,65.2,SI034,6211170000.0
Amsterdam,2017,cocaine,734.04,NL321,11018180000.0
Lappeenranta,2016,amphetamine,40.12,FI1C5,4769500000.0
Santiago,2022,cannabis,92.81,ES114,23720700000.0
Dresden,2022,cocaine,48.73,DE142,9526560000.0
Bozen,2023,cannabis,57.71,ITH10,32936080000.0
Magdeburg,2023,MDMA,20.04,DEE03,10340220000.0
Amsterdam,2011,amphetamine,123.57,NL321,9928680000.0
Zurich,2017,cocaine,934.42,CH040,135554510000.0
Region Millstättersee,2020,cannabis,31.63,AT212,3573890000.0
Copenhagen,2022,methamphetamine,25.2,DK011,94306630000.0
Bordeaux I,2018,cannabis,164.91,FRI12,57229600000.0
Kajaani,2020,amphetamine,51.8,FI1D8,2432920000.0
Berne,2018,cocaine,499.92,CH021,71445660000.0
St. Gallen Hofen,2020,cannabis,10.23,CH055,36767900000.0
Antwerp Zuid,2022,methamphetamine,51.87,BE211,62626500000.0
Dortmund,2013,amphetamine,92.22,DEA52,19955940000.0
Amsterdam,2014,MDMA,150.51,NL321,10127460000.0
Zurich,2014,MDMA,55.42,CH040,120952300000.0
Munich G,2015,amphetamine,0.0,DE212,107292380000.0
Kaunas,2018,MDMA,14.9,LT022,9394660000.0
Vilnius,2023,cocaine,124.03,LT011,33822430000.0
Bucharest,2023,methamphetamine,0.0,RO321,84230360000.0
Copenhagen,2021,methamphetamine,42.91,DK011,73738420000.0
Bozen,2018,cocaine,393.16,ITH10,25347730000.0
Berne,2017,cocaine,527.84,CH021,72244360000.0
Prague (2),2013,MDMA,21.9,CZ010,41777870000.0
Copenhagen,2013,MDMA,19.47,DK011,46666520000.0
Copenhagen,2021,cocaine,533.35,DK011,73738420000.0
Bratislava C,2018,amphetamine,20.44,SK010,26068860000.0
Zurich,2020,methamphetamine,60.38,CH040,141627850000.0
Tallinn,2022,cannabis,56.84,EE001,22098580000.0
Barcelona,2011,cannabis,108.63,ES511,147153500000.0
Kokkola,2024,cocaine,3.05,FI1D5,2973700000.0
Vilnius,2024,MDMA,19.75,LT011,36173710000.0
Barcelona,2021,MDMA,25.43,ES511,173917400000.0
Innsbruck,2017,cocaine,222.78,AT332,13736520000.0
Wien,2022,amphetamine,39.09,AT130,110821730000.0
Dortmund,2016,methamphetamine,3.73,DEA52,21802160000.0
Munich G,2021,methamphetamine,4.94,DE212,133167260000.0
Berne,2015,methamphetamine,12.51,CH021,74884800000.0
Bratislava C,2024,amphetamine,12.47,SK010,36496500000.0
Tallinn,2022,MDMA,23.94,EE001,22098580000.0
Novi Sad,2013,methamphetamine,0.0,RS123,4480180000.0
Krakow P,2022,methamphetamine,3.24,PL213,22985160000.0
Merchtem,2017,cocaine,234.78,BE241,29607360000.0
Dortmund,2021,methamphetamine,1.83,DEA52,26023320000.0
Fort-de-France P,2017,MDMA,0.0,FRY20,8958800000.0
Ljubljana,2023,ketamine,16.65,SI041,25242650000.0
Kajaani,2024,MDMA,6.03,FI1D8,2742530000.0
Barcelona,2021,cocaine,665.38,ES511,173917400000.0
