city,year,metabolite_name,daily_mean_concentration
Amsterdam,2020,amphetamine,107.6
Amsterdam,2020,cannabis,247.53
Amsterdam,2020,cocaine,768.64
Amsterdam,2020,methamphetamine,26.53
Amsterdam,2021,mdma,125
Amsterdam,2021,amphetamine,146.77
Amsterdam,2021,cannabis,157.64
Amsterdam,2021,cocaine,886.83
Amsterdam,2021,methamphetamine,38.18
Amsterdam,2022,mdma,182.32
Amsterdam,2022,amphetamine,148.8
Amsterdam,2022,cannabis,169.39
Amsterdam,2022,cocaine,1142.43
Amsterdam,2022,methamphetamine,39.96
Amsterdam,2023,mdma,194.56
Amsterdam,2023,amphetamine,122.02
Amsterdam,2023,cannabis,195.74
Amsterdam,2023,cocaine,1209.96
Amsterdam,2023,methamphetamine,40.62
Amsterdam,2024,mdma,282.51
Amsterdam,2024,amphetamine,172.25
Amsterdam,2024,cannabis,319.46
Amsterdam,2024,cocaine,1206.28
Amsterdam,2024,methamphetamine,64.4
Amsterdam,2024,ketamine,132.21
Ankara,2023,mdma,8.81
Ankara,2023,amphetamine,8.69
Ankara,2023,cannabis,24.4
Ankara,2023,cocaine,10.61
Ankara,2023,methamphetamine,15.13
Ankara,2024,mdma,11.44
Ankara,2024,amphetamine,6.73
Ankara,2024,cannabis,16.86
Ankara,2024,cocaine,14.38
Antwerp Zuid,2011,mdma,52.14
Antwerp Zuid,2011,amphetamine,277.18
Antwerp Zuid,2011,cannabis,0
Antwerp Zuid,2011,cocaine,721.18
Antwerp Zuid,2011,methamphetamine,5.46
Antwerp Zuid,2012,mdma,65.84
Antwerp Zuid,2012,amphetamine,159.47
Antwerp Zuid,2012,cannabis,124.7
Antwerp Zuid,2012,cocaine,742.05
Antwerp Zuid,2012,methamphetamine,6.33
Antwerp Zuid,2013,mdma,72.59
Antwerp Zuid,2013,amphetamine,185.11
Antwerp Zuid,2013,cannabis,129.62
Antwerp Zuid,2013,cocaine,836.79
Antwerp Zuid,2013,methamphetamine,5.76
Antwerp Zuid,2014,mdma,58.82
Antwerp Zuid,2014,amphetamine,212.95
Antwerp Zuid,2014,cocaine,632.69
Antwerp Zuid,2014,methamphetamine,23.11
Antwerp Zuid,2015,mdma,71.98
Antwerp Zuid,2015,amphetamine,250.36
Antwerp Zuid,2015,cocaine,621.12
Antwerp Zuid,2015,methamphetamine,8.81
