,Year,Metabolite,Site ID,Country_x,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean,nuts_code,GEO (Codes),GEO (Labels),GDP (M EUR),Country_y
56,2024,amphetamine,DK006,DK,Odense,107.35,134.14,134.44,113.03,109.66,111.26,142.79,128.09,117.1,121.81,DK031,DK031,Fyn,23636.72,DK
57,2024,amphetamine,FI002,FI,Helsinki,192.18,180.83,183.41,180.03,170.49,213.62,181.68,184.89,186.89,186.03,FI1B1,FI1B1,Helsinki-Uusimaa,108495.71,FI
58,2024,amphetamine,FI007,FI,Kajaani,152.68,144.83,189.81,168.04,138.62,170.37,155.01,150.84,166.71,159.91,FI1D8,FI1D8,Kainuu,2742.53,FI
59,2024,amphetamine,FI009,FI,Kokkola,87.06,89.35,96.82,91.99,96.45,80.7,78.13,84.85,91.49,88.64,FI1D5,FI1D5,Keski-Pohjanmaa,2973.7,FI
60,2024,amphetamine,FI014,FI,Lappeenranta,144.79,186.68,174.08,208.12,192.16,164.34,149.27,160.25,184.67,174.2,FI1C5,FI1C5,Etelä-Karjala,5029.33,FI
61,2024,amphetamine,FI015,FI,Mariehamn,92.78,84.37,74.15,79.96,100.8,89.19,86.38,87.84,86.02,86.8,FI200,FI200,Åland,1632.98,FI
62,2024,amphetamine,FI017,FI,Oulu,124.34,126.12,139.86,180.49,154.49,134.93,120.21,123.56,152.44,140.06,FI1D9,FI1D9,Pohjois-Pohjanmaa,18300.29,FI
63,2024,amphetamine,FI019,FI,Pori,42.89,61.12,64.84,80.1,67.46,54.14,58.67,54.23,66.64,61.32,FI196,FI196,Satakunta,9763.24,FI
64,2024,amphetamine,FI022,FI,Rovaniemi,197.64,236.3,200.6,202.35,175.41,156.47,152.29,195.41,183.71,188.72,FI1D7,FI1D7,Lappi,8252.0,FI
65,2024,amphetamine,FI027,FI,Turku,150.22,176.04,152.92,197.53,183.91,154.47,157.59,161.28,172.21,167.53,FI1C1,FI1C1,Varsinais-Suomi,22820.39,FI
66,2024,amphetamine,FR005,FR,Paris Seine Centre,6.32,5.03,5.41,6.19,5.9,7.06,5.01,5.46,6.14,5.85,FR101,FR101,Paris,279937.5,FR
67,2024,amphetamine,HR001,HR,Split,115.92,100.37,13.74,97.07,65.76,82.7,83.98,100.09,64.82,79.93,HR035,HR035,Splitsko-dalmatinska županija,7803.49,HR
68,2024,amphetamine,HR002,HR,Zagreb,85.93,63.78,87.1,,91.85,80.44,69.29,73.0,86.46,82.75,HR050,HR050,Grad Zagreb,29116.76,HR
69,2024,amphetamine,HU001,HU,Budapest,168.53,202.2,193.96,222.07,242.79,228.44,,179.75,221.82,203.79,HU110,HU110,Budapest,80200.67,HU
70,2024,amphetamine,IE001,IE,Dublin,23.27,23.45,26.1,23.7,23.76,22.95,22.05,22.92,24.13,23.61,IE061,IE061,Dublin,279799.6,IE
71,2024,amphetamine,LT002,LT,Klaipeda,20.67,20.79,20.0,25.84,22.54,24.21,18.95,20.14,23.15,21.86,LT023,LT023,Klaipėdos apskritis,8111.49,LT
72,2024,amphetamine,LT003,LT,Vilnius,40.84,53.51,54.97,49.07,53.86,67.78,80.1,58.15,56.42,57.16,LT011,LT011,Vilniaus apskritis,36173.71,LT
73,2024,amphetamine,LU002,LU,Luxembourg,5.91,6.13,9.71,6.6,8.39,9.17,10.44,7.49,8.47,8.05,LU000,LU000,Luxembourg,86180.28,LU
74,2024,amphetamine,NL001,NL,Amsterdam,195.51,182.88,189.75,145.57,158.33,163.84,169.86,182.75,164.37,172.25,NL321,NL321,Kop van Noord-Holland,16678.58,NL
75,2024,amphetamine,NL002,NL,Eindhoven,325.21,314.85,286.06,278.42,337.05,371.11,266.11,302.06,318.16,311.26,NL414,NL414,Zuidoost-Noord-Brabant,63114.07,NL
76,2024,amphetamine,NL012,NL,Zwolle,254.14,264.43,249.0,288.33,298.2,304.23,246.83,255.13,284.94,272.17,NL213,NL213,Twente,33948.84,NL
